mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__alpha,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__l2_regularization,param_model__learning_rate,param_model__max_iter,param_model__max_leaf_nodes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
1.0822537541389465,0.21729530609613748,0.657106339931488,0.4435263374205706,"RandomForestRegressor(n_jobs=-1, random_state=42)",,8,3.0,160.0,,,,,"{'model': RandomForestRegressor(n_jobs=-1, random_state=42), 'model__max_depth': 8, 'model__min_samples_leaf': 3, 'model__n_estimators': 160}",-2.5683717460079176,-2.504951355481947,-2.7399286545093395,-2.598534196016566,-2.6029464880039423,0.08599715263191757,1,-2.2962311992856432,-2.3461240138269344,-2.3507762575463302,-2.4108775286704676,-2.3510022498323435,0.040647156274978544
1.4781611561775208,0.5776385829333495,0.738973081111908,0.45260134804779373,"RandomForestRegressor(n_jobs=-1, random_state=42)",,8,3.0,260.0,,,,,"{'model': RandomForestRegressor(n_jobs=-1, random_state=42), 'model__max_depth': 8, 'model__min_samples_leaf': 3, 'model__n_estimators': 260}",-2.5654350730106548,-2.507720196360732,-2.743465133288496,-2.6007256454973735,-2.604336512039314,0.08691640527208584,2,-2.291360064579965,-2.3456478481614735,-2.350030486870186,-2.410684902129043,-2.349430825435167,0.042246140914914396
0.6329841017723083,0.24236127991227482,0.8228984475135803,0.14966395011257827,"RandomForestRegressor(n_jobs=-1, random_state=42)",,8,1.0,160.0,,,,,"{'model': RandomForestRegressor(n_jobs=-1, random_state=42), 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__n_estimators': 160}",-2.574340662223253,-2.504608109015444,-2.743713891609427,-2.596028607407971,-2.6046728175640235,0.08709208945916116,3,-2.218935947975568,-2.3055615334697843,-2.3269042189657854,-2.390655792444204,-2.3105143732138353,0.06144593703142944
1.3102834820747375,0.2755802969538652,0.46696794033050537,0.18905203116868466,"RandomForestRegressor(n_jobs=-1, random_state=42)",,8,1.0,260.0,,,,,"{'model': RandomForestRegressor(n_jobs=-1, random_state=42), 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__n_estimators': 260}",-2.572894088552521,-2.507404459912685,-2.745764886926203,-2.597732269810627,-2.605948926300509,0.08720615007521706,4,-2.21474205238469,-2.304324662038499,-2.324188411424987,-2.3908861270947965,-2.308535313235743,0.06293167205539095
2.5214133858680725,0.4070929207520109,0.6927568316459656,0.09702473537905225,"RandomForestRegressor(n_jobs=-1, random_state=42)",,14,3.0,260.0,,,,,"{'model': RandomForestRegressor(n_jobs=-1, random_state=42), 'model__max_depth': 14, 'model__min_samples_leaf': 3, 'model__n_estimators': 260}",-2.5836598329735962,-2.5214133038341244,-2.7668151113440818,-2.617241229918202,-2.6222823695175013,0.09025158625931633,5,-1.8026587720825478,-1.891445743103779,-1.8981954966971566,-1.9650993022999905,-1.8893498285458685,0.05774071515756853
1.5334461331367493,0.8123710283623088,1.0833803415298462,0.5476261883423414,"RandomForestRegressor(n_jobs=-1, random_state=42)",,14,3.0,160.0,,,,,"{'model': RandomForestRegressor(n_jobs=-1, random_state=42), 'model__max_depth': 14, 'model__min_samples_leaf': 3, 'model__n_estimators': 160}",-2.5911171424198645,-2.5202355344047214,-2.762773625101142,-2.620797949256182,-2.6237310627954775,0.08819924813555337,6,-1.8084983073341143,-1.8931604546337033,-1.9023494160464747,-1.9676979582369376,-1.8929265340628074,0.05658563590985551
1.4343235492706299,0.6461564420514778,0.6891210079193115,0.4554691146453988,"RandomForestRegressor(n_jobs=-1, random_state=42)",,14,1.0,160.0,,,,,"{'model': RandomForestRegressor(n_jobs=-1, random_state=42), 'model__max_depth': 14, 'model__min_samples_leaf': 1, 'model__n_estimators': 160}",-2.5782137928279325,-2.530474259480246,-2.7733552356352305,-2.6140940605188647,-2.6240343371155683,0.09117092496991698,7,-1.4992375622815513,-1.6782073615484703,-1.7243215820168372,-1.8038482102519169,-1.676403679024694,0.11172434846462799
1.9293010830879211,0.3385930652956499,0.6614226698875427,0.2423817099168568,"RandomForestRegressor(n_jobs=-1, random_state=42)",,14,1.0,260.0,,,,,"{'model': RandomForestRegressor(n_jobs=-1, random_state=42), 'model__max_depth': 14, 'model__min_samples_leaf': 1, 'model__n_estimators': 260}",-2.579378621171345,-2.5315771000803258,-2.774186899633292,-2.620705377453424,-2.626461999584597,0.09093373063596807,8,-1.4982306741129368,-1.671086824079808,-1.7152292929585413,-1.8024871146855206,-1.6717584764592017,0.11078361571512974
1.5808247923851013,0.23324852539450994,0.5101140737533569,0.25031236308284655,"RandomForestRegressor(n_jobs=-1, random_state=42)",,,3.0,260.0,,,,,"{'model': RandomForestRegressor(n_jobs=-1, random_state=42), 'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 260}",-2.589403367471569,-2.5340246288972215,-2.7950009151646387,-2.6440695976141075,-2.640624627286884,0.0972510709365389,9,-1.622730371855136,-1.5354311999672607,-1.4994014631576722,-1.5146236940416555,-1.5430466822554312,0.047750019287418524
2.3591686487197876,0.2978759265094882,0.8295241594314575,0.20671100879700202,"RandomForestRegressor(n_jobs=-1, random_state=42)",,,3.0,160.0,,,,,"{'model': RandomForestRegressor(n_jobs=-1, random_state=42), 'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 160}",-2.596060329376398,-2.531115411406194,-2.7967607795084546,-2.6481220819352496,-2.643014650556574,0.09796696640054399,10,-1.627723340052658,-1.5298528523608483,-1.4995615588804745,-1.52111145803483,-1.5445623023322026,0.049262397228186774
